#{"t_start": 1746037119.556275, "env_id": "PickCube-v1"}
r,l,t
4.87825,50,31.921738
4.236912,50,31.970685
6.217986,50,32.023762
5.386382,50,32.076216
6.181154,50,32.130149
3.854743,50,32.17956
6.475661,50,32.234901
6.433616,50,32.292535
5.254564,50,32.344212
8.295804,50,32.397237
3.396353,50,32.446014
5.242604,50,32.494972
5.257526,50,32.547406
6.742508,50,32.601226
4.852958,50,32.64991
4.852563,50,32.698561
4.966357,50,32.746656
4.212137,50,32.794866
4.06566,50,32.844971
3.781126,50,32.894813
4.08538,50,32.94351
4.592124,50,32.992204
5.539874,50,33.042047
5.795513,50,33.092741
6.099058,50,33.143582
6.310865,50,33.199161
5.595448,50,33.248372
4.232441,50,33.297731
6.155762,50,33.351466
4.756207,50,33.401838
5.017265,50,33.452104
5.567516,50,33.502152
4.921059,50,33.552639
5.577585,50,33.604613
5.892597,50,34.135691
3.814905,50,34.183244
6.081426,50,34.238412
6.069439,50,34.292377
5.470352,50,34.352635
5.391379,50,34.410441
5.63474,50,34.468152
5.491818,50,34.522875
3.904917,50,34.574653
5.307041,50,34.624286
5.494835,50,34.677715
3.704908,50,34.725974
6.333387,50,34.783242
4.17512,50,34.832497
4.863076,50,34.889245
6.2302,50,34.947638
4.928349,50,35.006677
4.150089,50,35.057054
4.868446,50,35.110221
5.207254,50,35.160916
6.45391,50,35.218794
6.348045,50,35.271779
5.439712,50,35.322638
5.002574,50,35.372188
5.184888,50,35.424393
4.212377,50,35.473507
4.254921,50,35.528137
5.953167,50,35.58395
5.862883,50,35.643503
4.867776,50,35.694762
4.969976,50,35.753863
5.809218,50,35.806721
5.666306,50,35.85829
6.083486,50,35.908613
6.397011,50,35.96108
5.04295,50,36.008021
5.645971,50,36.059587
5.901301,50,36.11189
6.367372,50,36.167047
3.776235,50,36.214537
5.630649,50,36.265953
5.565484,50,36.780329
5.339828,50,36.829504
5.854726,50,36.879264
5.930211,50,36.929953
6.130915,50,36.983369
5.39659,50,37.029024
3.92886,50,37.074152
4.872532,50,37.120453
5.68652,50,37.171523
6.105271,50,37.222
3.444386,50,37.265825
5.155835,50,37.315267
5.185294,50,37.36319
6.239903,50,37.415571
3.531997,50,37.460107
5.226669,50,37.506865
1.399126,50,37.5515
5.247786,50,37.597562
4.594112,50,37.643322
6.238519,50,37.693986
6.174805,50,37.746716
3.835165,50,37.792569
6.722803,50,37.854464
4.722037,50,37.908976
5.791927,50,37.959583
4.168783,50,38.006454
5.567655,50,38.055325
5.469118,50,38.101762
4.951471,50,38.148894
5.926879,50,38.197097
6.631151,50,38.2464
4.907016,50,38.292096
5.767389,50,38.343966
6.943054,50,38.395001
4.634529,50,38.440108
5.277303,50,38.486362
4.341522,50,38.532155
5.816093,50,38.580884
5.603595,50,38.632013
3.397729,50,38.675829
2.91341,50,38.718175
5.049304,50,39.24505
2.071469,50,39.291107
4.602405,50,39.33716
2.042235,50,39.3838
5.692084,50,39.433161
5.278668,50,39.483445
4.677528,50,39.53346
5.921255,50,39.584233
6.219008,50,39.635934
5.385389,50,39.683398
5.071663,50,39.733982
5.765471,50,39.784858
6.404763,50,39.834891
4.114108,50,39.880452
4.709894,50,39.926352
5.80016,50,39.976367
3.473154,50,40.022909
4.451516,50,40.068315
4.597789,50,40.113953
4.042608,50,40.161305
5.876818,50,40.213109
5.82025,50,40.26403
6.066929,50,40.314153
4.860907,50,40.360176
5.208642,50,40.408645
5.116664,50,40.458268
4.560129,50,40.501715
5.448752,50,40.549929
3.982215,50,40.597134
5.335504,50,40.645876
3.393754,50,40.692866
5.991077,50,40.744808
5.803721,50,40.794615
4.17083,50,40.838419
5.385934,50,40.890111
5.926177,50,40.943024
5.756338,50,40.992887
5.00747,50,41.039831
5.109533,50,41.086592
5.803368,50,41.136529
4.948421,50,41.183924
6.686333,50,41.686674
3.43053,50,41.733814
5.99372,50,41.784181
4.549918,50,41.830444
5.1144,50,41.874578
5.114355,50,41.920996
4.396022,50,41.970473
4.072278,50,42.017243
6.305079,50,42.069329
6.019741,50,42.117769
5.215777,50,42.163477
6.202814,50,42.216478
3.097735,50,42.263744
4.672105,50,42.31265
5.122948,50,42.362711
5.937996,50,42.414733
3.961963,50,42.460969
5.920582,50,42.507877
